Mean Score: 112.29, Standard Deviation: 29.803454497759155, Minimum: 57, Maximum: 200, Games: 100
Mean Score: 123.9, Standard Deviation: 22.64707486630448, Minimum: 99, Maximum: 171, Games: 10
Mean Score: 124.3, Standard Deviation: 23.409613409879285, Minimum: 91, Maximum: 157, Games: 10
Mean Score: 152.0, Standard Deviation: 0.0, Minimum: 152, Maximum: 152, Games: 1
Mean Score: 122.0, Standard Deviation: 0.0, Minimum: 122, Maximum: 122, Games: 1
Mean Score: 119.0, Standard Deviation: 0.0, Minimum: 119, Maximum: 119, Games: 1
Mean Score: 109.0, Standard Deviation: 0.0, Minimum: 109, Maximum: 109, Games: 1
Mean Score: 119.14, Standard Deviation: 32.51738611881342, Minimum: 64, Maximum: 219, Games: 100
Mean Score: 121.2, Standard Deviation: 21.11302915263464, Minimum: 88, Maximum: 162, Games: 10
Mean Score: 122.8, Standard Deviation: 23.11190169587955, Minimum: 96, Maximum: 170, Games: 10
Mean Score: 132.7, Standard Deviation: 20.02023975880409, Minimum: 99, Maximum: 166, Games: 10
Mean Score: 121.9, Standard Deviation: 16.753805537847214, Minimum: 101, Maximum: 147, Games: 10
Mean Score: 144.0, Standard Deviation: 0.0, Minimum: 144, Maximum: 144, Games: 1
Mean Score: 147.0, Standard Deviation: 0.0, Minimum: 147, Maximum: 147, Games: 1
Mean Score: 118.46, Standard Deviation: 28.897550069166762, Minimum: 64, Maximum: 219, Games: 100
Mean Score: 124.13, Standard Deviation: 27.862754709468334, Minimum: 74, Maximum: 219, Games: 100
Mean Score: 120.2, Standard Deviation: 28.22339455132922, Minimum: 67, Maximum: 205, Games: 100
Mean Score: 122.6, Standard Deviation: 31.579740340921113, Minimum: 61, Maximum: 224, Games: 100
Mean Score: 124.01, Standard Deviation: 31.2462781783687, Minimum: 64, Maximum: 222, Games: 100
Mean Score: 125.45, Standard Deviation: 26.145123828354684, Minimum: 61, Maximum: 192, Games: 100
Mean Score: 139.7, Standard Deviation: 36.80502683058389, Minimum: 82, Maximum: 217, Games: 10
Mean Score: 135.5, Standard Deviation: 37.45196924061538, Minimum: 82, Maximum: 212, Games: 10
Mean Score: 130.6, Standard Deviation: 38.551783356934344, Minimum: 84, Maximum: 212, Games: 10
Mean Score: 117.84, Standard Deviation: 29.895056447513195, Minimum: 60, Maximum: 204, Games: 100
Mean Score: 124.94, Standard Deviation: 31.814719863610303, Minimum: 71, Maximum: 217, Games: 100
Mean Score: 109.18, Standard Deviation: 24.658621210440778, Minimum: 58, Maximum: 194, Games: 100
Mean Score: 108.31, Standard Deviation: 25.445901438149136, Minimum: 58, Maximum: 194, Games: 100
Mean Score: 108.07, Standard Deviation: 24.89508184360919, Minimum: 48, Maximum: 194, Games: 100
Mean Score: 111.3955, Standard Deviation: 26.90969118644798, Minimum: 46, Maximum: 247, Games: 10000
Mean Score: 108.8249, Standard Deviation: 27.354115595098257, Minimum: 41, Maximum: 247, Games: 10000
Mean Score: 108.469, Standard Deviation: 27.467963867021517, Minimum: 43, Maximum: 225, Games: 1000
Mean Score: 108.733, Standard Deviation: 27.79344726729668, Minimum: 45, Maximum: 225, Games: 1000
Mean Score: 112.908, Standard Deviation: 27.117697837390256, Minimum: 52, Maximum: 247, Games: 1000
Mean Score: 92.9, Standard Deviation: 17.985827754095723, Minimum: 72, Maximum: 136, Games: 10
Mean Score: 94.9, Standard Deviation: 20.29507329378241, Minimum: 72, Maximum: 136, Games: 10
Mean Score: 113.4, Standard Deviation: 32.12537937519182, Minimum: 76, Maximum: 175, Games: 10
Mean Score: 108.8, Standard Deviation: 20.687194106499796, Minimum: 76, Maximum: 137, Games: 10
Mean Score: 114.7209, Standard Deviation: 28.636466318140613, Minimum: 43, Maximum: 272, Games: 10000
Mean Score: 115.402, Standard Deviation: 30.117343773978472, Minimum: 46, Maximum: 230, Games: 1000
Mean Score: 129.3, Standard Deviation: 27.892830620071532, Minimum: 71, Maximum: 180, Games: 10
Mean Score: 108.43, Standard Deviation: 26.2008606728863, Minimum: 49, Maximum: 179, Games: 100
Mean Score: 122.0, Standard Deviation: 0.0, Minimum: 122, Maximum: 122, Games: 1
Mean Score: 117.0, Standard Deviation: 0.0, Minimum: 117, Maximum: 117, Games: 1
Mean Score: 114.0, Standard Deviation: 0.0, Minimum: 114, Maximum: 114, Games: 1
Mean Score: 117.0, Standard Deviation: 0.0, Minimum: 117, Maximum: 117, Games: 1
Mean Score: 132.0, Standard Deviation: 0.0, Minimum: 132, Maximum: 132, Games: 1
Mean Score: 112.0502, Standard Deviation: 27.36121853938518, Minimum: 46, Maximum: 279, Games: 10000
Mean Score: 127.52, Standard Deviation: 36.55939824450069, Minimum: 56, Maximum: 249, Games: 100
Mean Score: 125.0, Standard Deviation: 21.288494545176274, Minimum: 77, Maximum: 162, Games: 10
Mean Score: 126.3, Standard Deviation: 22.360903380677627, Minimum: 71, Maximum: 149, Games: 10
Mean Score: 118.9, Standard Deviation: 22.910477952238363, Minimum: 76, Maximum: 146, Games: 10
Mean Score: 125.6, Standard Deviation: 13.184839779079608, Minimum: 95, Maximum: 143, Games: 10
Mean Score: 120.3, Standard Deviation: 16.61956678135745, Minimum: 92, Maximum: 145, Games: 10
Mean Score: 126.6, Standard Deviation: 20.367621363330574, Minimum: 98, Maximum: 167, Games: 10
Mean Score: 124.0, Standard Deviation: 0.0, Minimum: 124, Maximum: 124, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 108.338, Standard Deviation: 32.224427939065116, Minimum: 35, Maximum: 224, Games: 1000
Mean Score: 108.914, Standard Deviation: 32.810312464223806, Minimum: 35, Maximum: 325, Games: 1000
Mean Score: 109.6, Standard Deviation: 22.249494376277408, Minimum: 67, Maximum: 141, Games: 10
Mean Score: 102.0, Standard Deviation: 0.0, Minimum: 102, Maximum: 102, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 164.0, Standard Deviation: 0.0, Minimum: 164, Maximum: 164, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 164.0, Standard Deviation: 0.0, Minimum: 164, Maximum: 164, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 126.0, Standard Deviation: 0.0, Minimum: 126, Maximum: 126, Games: 1
Mean Score: 164.0, Standard Deviation: 0.0, Minimum: 164, Maximum: 164, Games: 1
